Gene	Cluster
Gabpb1	Cluster_1
Usp50	Cluster_1
Stard7	Cluster_1
Mrps5	Cluster_1
Tmem87b	Cluster_1
Slc20a1	Cluster_1
Snrpb	Cluster_1
Idh3b	Cluster_1
Lzts3	Cluster_1
Chgb	Cluster_1
Trmt6	Cluster_1
Lamp5	Cluster_1
Slx4ip	Cluster_1
Btbd3	Cluster_1
Dstn	Cluster_1
Syndig1	Cluster_1
Entpd6	Cluster_1
H13	Cluster_1
Necab3	Cluster_1
Pigu	Cluster_1
Acss2	Cluster_1
Mmp24	Cluster_1
Src	Cluster_1
Blcap	Cluster_1
Ctnnbl1	Cluster_1
Ift52	Cluster_1
Ywhab	Cluster_1
Dnttip1	Cluster_1
Snx21	Cluster_1
Cdh22	Cluster_1
Elmo2	Cluster_1
Cse1l	Cluster_1
Stau1	Cluster_1
B4galt5	Cluster_1
Dpm1	Cluster_1
Dok5	Cluster_1
Gcnt7	Cluster_1
Rae1	Cluster_1
Vapb	Cluster_1
Zfp831	Cluster_1
Arfgap1	Cluster_1
Gmeb2	Cluster_1
Zgpat	Cluster_1
Zbtb46	Cluster_1
Zfp512b	Cluster_1
Prpf6	Cluster_1
Zfhx4	Cluster_1
Mrps28	Cluster_1
Snx16	Cluster_1
Lrrcc1	Cluster_1
Cyp7b1	Cluster_1
Hltf	Cluster_1
Nceh1	Cluster_1
Rpl22l1	Cluster_1
Prkci	Cluster_1
Zfp639	Cluster_1
Actl6a	Cluster_1
Usp13	Cluster_1
Ccdc39	Cluster_1
Dnajc19	Cluster_1
Dcun1d1	Cluster_1
Bbs7	Cluster_1
Fat4	Cluster_1
Intu	Cluster_1
Larp1b	Cluster_1
D3Ertd751e	Cluster_1
Cog6	Cluster_1
Proser1	Cluster_1
Trpc4	Cluster_1
Eif2a	Cluster_1
P2ry12	Cluster_1
Rap2b	Cluster_1
Iqcj	Cluster_1
Schip1	Cluster_1
Ift80	Cluster_1
Nmd3	Cluster_1
Ppid	Cluster_1
Pdgfc	Cluster_1
Gucy1a1	Cluster_1
Map9	Cluster_1
Tmem131l	Cluster_1
Hdgf	Cluster_1
Smg5	Cluster_1
Sema4a	Cluster_1
Kcnn3	Cluster_1
Rps27	Cluster_1
Ints3	Cluster_1
Ilf2	Cluster_1
Chtop	Cluster_1
Pi4kb	Cluster_1
Psmd4	Cluster_1
Mrps21	Cluster_1
Gpr89	Cluster_1
Prkab2	Cluster_1
Sec22b	Cluster_1
Bcas2	Cluster_1
Inka2	Cluster_1
Pifo	Cluster_1
Gpr61	Cluster_1
Sars	Cluster_1
Trmt13	Cluster_1
Agl	Cluster_1
Palmd	Cluster_1
Snx7	Cluster_1
Abcd3	Cluster_1
1810037I17Rik	Cluster_1
Arsj	Cluster_1
Col25a1	Cluster_1
Ostc	Cluster_1
Papss1	Cluster_1
Aimp1	Cluster_1
Dnajb14	Cluster_1
Mttp	Cluster_1
Odf2l	Cluster_1
Znhit6	Cluster_1
Ssx2ip	Cluster_1
Lrrc40	Cluster_1
Tmem68	Cluster_1
Rps20	Cluster_1
Ubxn2b	Cluster_1
Sdcbp	Cluster_1
Dpy19l4	Cluster_1
Pdp1	Cluster_1
Tmem67	Cluster_1
Calb1	Cluster_1
Ripk2	Cluster_1
Coq3	Cluster_1
Faxc	Cluster_1
Ankrd6	Cluster_1
Pnrc1	Cluster_1
Akirin2	Cluster_1
Ubap2	Cluster_1
Sigmar1	Cluster_1
Rusc2	Cluster_1
Ccdc107	Cluster_1
Gba2	Cluster_1
Fbxo10	Cluster_1
Dcaf10	Cluster_1
Tdrd7	Cluster_1
Tmod1	Cluster_1
Ncbp1	Cluster_1
Stx17	Cluster_1
Plppr1	Cluster_1
Tmem246	Cluster_1
Grin3a	Cluster_1
Fktn	Cluster_1
Elp1	Cluster_1
Ptpn3	Cluster_1
Zkscan16	Cluster_1
Ugcg	Cluster_1
Tle1	Cluster_1
Frmd3	Cluster_1
Ccdc171	Cluster_1
Plaa	Cluster_1
Ift74	Cluster_1
Fggy	Cluster_1
Itgb3bp	Cluster_1
Wdr78	Cluster_1
Slc35d1	Cluster_1
Ttc4	Cluster_1
Echdc2	Cluster_1
Btf3l4	Cluster_1
Rnf11	Cluster_1
Trabd2b	Cluster_1
Atpaf1	Cluster_1
Faah	Cluster_1
Uqcrh	Cluster_1
Ptprf	Cluster_1
Trit1	Cluster_1
Inpp5b	Cluster_1
Epha10	Cluster_1
Meaf6	Cluster_1
Map7d1	Cluster_1
S100pbp	Cluster_1
Rbbp4	Cluster_1
Zcchc17	Cluster_1
Srsf4	Cluster_1
Gmeb1	Cluster_1
Dnajc8	Cluster_1
Stx12	Cluster_1
Fam76a	Cluster_1
Ubxn11	Cluster_1
Man1c1	Cluster_1
Tmem50a	Cluster_1
Zfp46	Cluster_1
Ephb2	Cluster_1
Sh2d5	Cluster_1
Otud3	Cluster_1
Capzb	Cluster_1
Crocc	Cluster_1
Necap2	Cluster_1
Fbxo42	Cluster_1
Ddi2	Cluster_1
Zfp933	Cluster_1
Mtor	Cluster_1
Pex14	Cluster_1
Eno1	Cluster_1
Acot7	Cluster_1
Kcnab2	Cluster_1
Nphp4	Cluster_1
Ajap1	Cluster_1
Plch2	Cluster_1
Morn1	Cluster_1
Gabrd	Cluster_1
Cfap74	Cluster_1
Atad3a	Cluster_1
Acap3	Cluster_1
Ube2j2	Cluster_1
Sdf4	Cluster_1
Fam133b	Cluster_1
Pex1	Cluster_1
Gatad1	Cluster_1
Cfap69	Cluster_1
Sema3a	Cluster_1
Fam185a	Cluster_1
Napepld	Cluster_1
Pus7	Cluster_1
Fastk	Cluster_1
Rnf32	Cluster_1
Nom1	Cluster_1
Selenoi	Cluster_1
Drc1	Cluster_1
Otof	Cluster_1
Tmem214	Cluster_1
Atraid	Cluster_1
Slc30a3	Cluster_1
Gtf3c2	Cluster_1
Ppm1g	Cluster_1
Zfp512	Cluster_1
Maea	Cluster_1
Gm1673	Cluster_1
Mxd4	Cluster_1
Tbc1d14	Cluster_1
Jakmip1	Cluster_1
Gm1043	Cluster_1
Crmp1	Cluster_1
Evc2	Cluster_1
Nsg1	Cluster_1
Cc2d2a	Cluster_1
Ccdc149	Cluster_1
Sepsecs	Cluster_1
Rbpj	Cluster_1
Tbc1d1	Cluster_1
Rfc1	Cluster_1
Lias	Cluster_1
Uchl1	Cluster_1
Guf1	Cluster_1
Ociad1	Cluster_1
Ociad2	Cluster_1
Dcun1d4	Cluster_1
Lnx1	Cluster_1
Exoc1	Cluster_1
Mob1b	Cluster_1
Adamts3	Cluster_1
Cdkl2	Cluster_1
G3bp2	Cluster_1
Ccni	Cluster_1
Mrpl1	Cluster_1
Prkg2	Cluster_1
Tmem150c	Cluster_1
Sec31a	Cluster_1
Coq2	Cluster_1
Helq	Cluster_1
Cds1	Cluster_1
Lrrc8c	Cluster_1
Lrrc8d	Cluster_1
Cdc7	Cluster_1
Tgfbr3	Cluster_1
Brdt	Cluster_1
Ephx4	Cluster_1
