Gene	Cluster
DUSP12	Cluster_1
DUSP14	Cluster_1
DUSP22	Cluster_1
DYNLT1	Cluster_1
DZIP1	Cluster_1
EAF2	Cluster_1
EAPP	Cluster_1
ECHDC2	Cluster_1
EDA	Cluster_1
EDF1	Cluster_1
EDRF1	Cluster_1
EEF1AKMT1	Cluster_1
EEF2K	Cluster_1
EEPD1	Cluster_1
EFCAB1	Cluster_1
EFCAB6	Cluster_1
EFL1	Cluster_1
EFNB2	Cluster_1
EFTUD2	Cluster_1
EI24	Cluster_1
EIF1B	Cluster_1
EIF2A	Cluster_1
EIF2D	Cluster_1
EIF3C	Cluster_1
EIF3CL	Cluster_1
EIF3E	Cluster_1
EIF3H	Cluster_1
EIF4A1	Cluster_1
EIF4ENIF1	Cluster_1
ELMO2	Cluster_1
ELP1	Cluster_1
ELP2	Cluster_1
EMB	Cluster_1
EMC7	Cluster_1
EMC9	Cluster_1
ENC1	Cluster_1
ENO1	Cluster_1
ENO2	Cluster_1
ENPP5	Cluster_1
ENTPD6	Cluster_1
EPG5	Cluster_1
EPHA10	Cluster_1
EPHA3	Cluster_1
EPHB2	Cluster_1
EPHX4	Cluster_1
EPM2A	Cluster_1
EPN1	Cluster_1
BIVM	Cluster_1
ERCC5	Cluster_1
BIVM-ERCC5	Cluster_1
ERCC6	Cluster_1
ERG28	Cluster_1
ERLIN1	Cluster_1
ERP29	Cluster_1
ETFA	Cluster_1
ETNK2	Cluster_1
EVC2	Cluster_1
EVI5L	Cluster_1
EXOC1	Cluster_1
EXOC7	Cluster_1
EXOSC1	Cluster_1
EXOSC7	Cluster_1
EXPH5	Cluster_1
FAAH	Cluster_1
FAF2	Cluster_1
FAIM2	Cluster_1
FAM104B	Cluster_1
FAM118B	Cluster_1
FAM124A	Cluster_1
FAM133B	Cluster_1
FAM13A	Cluster_1
FAM162A	Cluster_1
FAM169A	Cluster_1
FAM171A2	Cluster_1
FAM185A	Cluster_1
FAM204A	Cluster_1
FAM227A	Cluster_1
FAM234B	Cluster_1
FAM76A	Cluster_1
FAM78B	Cluster_1
FAM81A	Cluster_1
FAM8A1	Cluster_1
FAM98A	Cluster_1
FANCL	Cluster_1
FASTK	Cluster_1
FAT4	Cluster_1
FAXC	Cluster_1
FBF1	Cluster_1
FBH1	Cluster_1
FBXL16	Cluster_1
FBXL7	Cluster_1
FBXO10	Cluster_1
FBXO21	Cluster_1
FBXO28	Cluster_1
FBXO33	Cluster_1
FBXO41	Cluster_1
FBXO42	Cluster_1
FBXO8	Cluster_1
FBXW8	Cluster_1
FCHO1	Cluster_1
FECH	Cluster_1
FGFBP3	Cluster_1
FGFR1OP2	Cluster_1
FGGY	Cluster_1
FHL2	Cluster_1
FKBP3	Cluster_1
FKTN	Cluster_1
FLVCR1	Cluster_1
FLYWCH1	Cluster_1
FMR1	Cluster_1
CHURC1-FNTB	Cluster_1
FNTB	Cluster_1
FOXG1	Cluster_1
FOXK1	Cluster_1
FRMD3	Cluster_1
FXR2	Cluster_1
FZD3	Cluster_1
G2E3	Cluster_1
G3BP1	Cluster_1
G3BP2	Cluster_1
GABARAPL2	Cluster_1
GABPB1	Cluster_1
GABRD	Cluster_1
GALC	Cluster_1
GARS1	Cluster_1
GATAD1	Cluster_1
GBA2	Cluster_1
GCA	Cluster_1
GCLC	Cluster_1
GCNT7	Cluster_1
GDPD1	Cluster_1
GFPT1	Cluster_1
GGA2	Cluster_1
GGA3	Cluster_1
GIN1	Cluster_1
GKAP1	Cluster_1
GLCE	Cluster_1
GLE1	Cluster_1
GLOD4	Cluster_1
GLP2R	Cluster_1
GLRA3	Cluster_1
GLRX3	Cluster_1
C4orf50	Cluster_1
C4orf48	Cluster_1
ZNF721	Cluster_1
GMEB1	Cluster_1
GMEB2	Cluster_1
GNAL	Cluster_1
GNAZ	Cluster_1
GNB5	Cluster_1
GNG3	Cluster_1
GNL3	Cluster_1
GNPAT	Cluster_1
GNPTAB	Cluster_1
GOLGA3	Cluster_1
GOLGA5	Cluster_1
GOPC	Cluster_1
GORASP2	Cluster_1
GOT1	Cluster_1
GPATCH1	Cluster_1
GPD2	Cluster_1
GPKOW	Cluster_1
GPR107	Cluster_1
GPR155	Cluster_1
GPR162	Cluster_1
GPR22	Cluster_1
GPR26	Cluster_1
GPR61	Cluster_1
GPR85	Cluster_1
GPR89B	Cluster_1
GPR89A	Cluster_1
GPRIN3	Cluster_1
GRAMD4	Cluster_1
GRB14	Cluster_1
GREB1L	Cluster_1
GRIN3A	Cluster_1
GSG1L	Cluster_1
GSPT2	Cluster_1
GSTZ1	Cluster_1
GTF2A1	Cluster_1
GTF2A2	Cluster_1
GTF2F2	Cluster_1
GTF2H1	Cluster_1
GTF2H2	Cluster_1
GTF2H2C	Cluster_1
GTF3C2	Cluster_1
GTF3C3	Cluster_1
GTPBP2	Cluster_1
GTPBP4	Cluster_1
GTPBP8	Cluster_1
GUCY1A1	Cluster_1
GUF1	Cluster_1
HM13	Cluster_1
H3-3A	Cluster_1
HABP4	Cluster_1
HACD1	Cluster_1
HAP1	Cluster_1
HCFC2	Cluster_1
HCN2	Cluster_1
HDAC11	Cluster_1
HDAC2	Cluster_1
HDAC7	Cluster_1
HDGF	Cluster_1
HDHD5	Cluster_1
HEATR3	Cluster_1
HEATR5B	Cluster_1
HEATR6	Cluster_1
HELQ	Cluster_1
HERPUD2	Cluster_1
HIGD1A	Cluster_1
HIGD2B	Cluster_1
HIGD2A	Cluster_1
HINT1	Cluster_1
HINT3	Cluster_1
HK1	Cluster_1
HLCS	Cluster_1
HLF	Cluster_1
HLTF	Cluster_1
HMGXB3	Cluster_1
HNRNPA0	Cluster_1
HNRNPH2	Cluster_1
HNRNPUL1	Cluster_1
HOMER2	Cluster_1
HPF1	Cluster_1
HPGDS	Cluster_1
HPRT1	Cluster_1
HRH1	Cluster_1
HSD17B4	Cluster_1
HSF2	Cluster_1
HSPH1	Cluster_1
HTRA2	Cluster_1
IARS2	Cluster_1
ICA1L	Cluster_1
ICAM5	Cluster_1
IDH3B	Cluster_1
IFFO1	Cluster_1
IFT122	Cluster_1
IFT20	Cluster_1
IFT43	Cluster_1
IFT52	Cluster_1
IFT57	Cluster_1
IFT74	Cluster_1
IFT80	Cluster_1
IFT81	Cluster_1
IGF2BP3	Cluster_1
