Gene	Cell
Pcolce2	Micro_C1qc
Pcyox1	Micro_C1qc
Pdcd4	Micro_C1qc
Pdcd5	Micro_C1qc
Pde8b	Micro_C1qc
Pdha1	Micro_C1qc
Pdia3	Micro_C1qc
Pea15a	Micro_C1qc
Pfkl	Micro_C1qc
Pgp	Micro_C1qc
Phb	Micro_C1qc
Phb2	Micro_C1qc
Phrf1	Micro_C1qc
Pigf	Micro_C1qc
Pigs	Micro_C1qc
Pik3cg	Micro_C1qc
Pja2	Micro_C1qc
Pla2g15	Micro_C1qc
Plekhg5	Micro_C1qc
Plpp1	Micro_C1qc
Plpp5	Micro_C1qc
Plxna4	Micro_C1qc
Pmvk	Micro_C1qc
Pnkd	Micro_C1qc
Pnpla8	Micro_C1qc
Polr1c	Micro_C1qc
Polr2k	Micro_C1qc
Pomt2	Micro_C1qc
Pon2	Micro_C1qc
Ppat	Micro_C1qc
Ppm1d	Micro_C1qc
Ppp1ca	Micro_C1qc
Ppp1r35	Micro_C1qc
Ppp2ca	Micro_C1qc
Ppp3ca	Micro_C1qc
Prag1	Micro_C1qc
Prepl	Micro_C1qc
Prkg1	Micro_C1qc
Prmt2	Micro_C1qc
Psd3	Micro_C1qc
Psenen	Micro_C1qc
Psma4	Micro_C1qc
Psma6	Micro_C1qc
